module,page_path,suggested_subpackage,priority,owner,status,legacy_file,notes
tabbar,pages/index/index,main,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/index/index.vue,mp-native 已建骨架页（占位+system/location 测试）
auth,pages/user/login/login,main,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/user/login/login.vue,mp-native 已建登录页骨架（/index/miniwxlogin）
auth,pages/getopenid/getopenid,main,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/getopenid/getopenid.vue,mp-native 已实现（pages/getopenid/getopenid）：wx.login -> /index/miniwxlogin -> /seller/bindCheckOpenid 绑定
tabbar,pages/merchant/merchant,main,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/merchant/merchant.vue,mp-native 已实现分类+列表（/seller/cate，/seller/list）+ 分页/下拉刷新
tabbar,pages/user/user,main,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/user/user.vue,mp-native 已建占位页（展示 uerInfo）
misc,pages/search/search,main,TBD,,in_progress,xfq-miniapp/xfq-miniapp/pages/search/search.vue,mp-native 已实现基础搜索（/seller/search）+ SearchHistory（subpackage: subpackages/merchant/search/search）
user,pages/user/order,user,TBD,,in_progress,xfq-miniapp/xfq-miniapp/pages/user/order.vue,mp-native 已实现（subpackages/user/order/order）：/user/get_user_coupon_id + /user/coupon_issue_user（分页/下拉刷新/状态tab）
user,pages/user/set,user,TBD,,todo,xfq-miniapp/xfq-miniapp/pages/user/set.vue,
merchant,pages/merchant/info/info,merchant,TBD,,in_progress,xfq-miniapp/xfq-miniapp/pages/merchant/info/info.vue,mp-native 已实现基础详情（/seller/detail）+ 拨号/导航 + 富文本渲染（subpackage: subpackages/merchant/info/info）
coupon,pages/coupon/coupon,coupon,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/coupon/coupon.vue,mp-native 已实现（subpackages/coupon/coupon）：/coupon/detail + /coupon/receive + /coupon/applicabletoV2
coupon,pages/coupon/my_coupon,coupon,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/coupon/my_coupon.vue,mp-native 已实现（subpackages/coupon/my_coupon）：/coupon/idtocoupon + /coupon/encryptAES + /coupon/applicableto（含二维码canvas绘制）
coupon,pages/coupon/logistics,coupon,TBD,,todo,xfq-miniapp/xfq-miniapp/pages/coupon/logistics.vue,
merchant,pages/merchant/info/merchant,merchant,P0,,in_progress,xfq-miniapp/xfq-miniapp/pages/merchant/info/merchant.vue,不单独迁移；合并到 pages/merchant/info/info（mp-native：subpackages/merchant/info/info）
